ID;TANGGAL;KETERANGAN;NO_REFF;KODE_AKUN;DEBIT;KREDIT
1;01/11/2025;Penjualan Project Besar;INV-11-001;1112;100000000;0
2;01/11/2025;Pendapatan Penjualan Project;INV-11-001;4111;0;100000000
3;01/11/2025;Beban Pokok Project (HPP);INV-11-001;5111;60000000;0
4;01/11/2025;Pengurangan Persediaan Barang;INV-11-001;1131;0;60000000
5;05/11/2025;Restock Barang Gudang;PO-11-005;1131;20000000;0
6;05/11/2025;Hutang Dagang ke Vendor;PO-11-005;2111;0;20000000
7;10/11/2025;Bayar Sewa Kantor Nov;OP-11-010;5131;3000000;0
8;10/11/2025;Keluar Bank untuk Sewa;OP-11-010;1112;0;3000000
9;15/11/2025;Penjualan Retail Cash;INV-11-015;1111;50000000;0
10;15/11/2025;Pendapatan Retail;INV-11-015;4111;0;50000000
11;15/11/2025;HPP Barang Retail;INV-11-015;5111;25000000;0
12;15/11/2025;Stok Keluar Retail;INV-11-015;1131;0;25000000
13;20/11/2025;Bayar Listrik & Air;OP-11-020;5141;1500000;0
14;20/11/2025;Kas Kecil Keluar;OP-11-020;1111;0;1500000
15;22/11/2025;Beli Perlengkapan Kantor;OP-11-022;1141;1000000;0
16;22/11/2025;Kas Kecil Keluar;OP-11-022;1111;0;1000000
17;25/11/2025;Gaji Karyawan Nov;PAY-11-025;5121;8000000;0
18;25/11/2025;Transfer Bank Gaji;PAY-11-025;1112;0;8000000
