Tanggal;no ref;Keterangan;akun;D;K
21/10/2025;1131;Pembelian susu ultra milk uht 125 ml 9000 pcs;kredit;27000000;
21/10/2025;2111;Pembelian susu ultra milk uht 125 ml 9000 pcs;kredit;;27000000
21/10/2025;1131;Pembelian susu ultra milk uht 125 ml 9000 pcs;kredit;27000000;
21/10/2025;2111;Pembelian susu ultra milk uht 125 ml 9000 pcs;kredit;;27000000
21/10/2025;5171;Akomodasi rapat (makan dan kopi);uang Mas Denny;161500;
21/10/2025;1111;Akomodasi rapat (makan dan kopi);uang Mas Denny;;161500
28/10/2025;1131;Pembelian masker dan sarung tangan;kredit;1140000;
28/10/2025;2111;Pembelian masker dan sarung tangan;kredit;;1140000
05/11/2025;1131;Pembelian susu frisian flag uht 110 ml 2200 krt;kredit;229900000;
05/11/2025;2111;Pembelian susu frisian flag uht 110 ml 2200 krt;kredit;;229900000
05/11/2025;1131;Biaya kuli bongkar susu;uang Mas Denny;150000;
05/11/2025;1111;Biaya kuli bongkar susu;uang Mas Denny;;150000
05/11/2025;1131;Pembelian sayuran;tunai;360000;
05/11/2025;1111;Pembelian sayuran;tunai;;360000
06/11/2025;1131;Pembelian bumbu;tunai;27000;
06/11/2025;1111;Pembelian bumbu;tunai;;27000
06/11/2025;1141;Pembelian plastik;tunai;23000;
06/11/2025;1111;Pembelian plastik;tunai;;23000
06/11/2025;5211;Pembelian kresek;tunai;5000;
06/11/2025;1111;Pembelian kresek;tunai;;5000
06/11/2025;1131;Pembelian buah;tunai;140000;
06/11/2025;1111;Pembelian buah;tunai;;140000
06/11/2025;1131;Pembelian sayur;tunai;117000;
06/11/2025;1111;Pembelian sayur;tunai;;117000
06/11/2025;1131;Pembelian bahan kering;tunai;88500;
06/11/2025;1111;Pembelian bahan kering;tunai;;88500
06/11/2025;1141;Pembelian plastik;tunai;42000;
06/11/2025;1111;Pembelian plastik;tunai;;42000
07/11/2025;5111;Pembelian HPP Merden;tunai;4500000;
07/11/2025;1111;Pembelian HPP Merden;tunai;;4500000
07/11/2025;5111;Pembelian HPP Susukan;tunai;4250000;
07/11/2025;1111;Pembelian HPP Susukan;tunai;;4250000
07/11/2025;1131;Pembelian bawang merah;tunai;32000;
07/11/2025;1111;Pembelian bawang merah;tunai;;32000
07/11/2025;1131;Pembelian bawang putih;tunai;36000;
07/11/2025;1111;Pembelian bawang putih;tunai;;36000
07/11/2025;1131;Pembelian bawang bombay;tunai;15000;
07/11/2025;1111;Pembelian bawang bombay;tunai;;15000
07/11/2025;1131;Pembelian sayuran;tunai;36000;
07/11/2025;1111;Pembelian sayuran;tunai;;36000
07/11/2025;1131;Pembelian jeruk;tunai;180000;
07/11/2025;1111;Pembelian jeruk;tunai;;180000
07/11/2025;1131;Pembelian jagung;tunai;70000;
07/11/2025;1111;Pembelian jagung;tunai;;70000
07/11/2025;1131;Pembelian bumbu;tunai;17000;
07/11/2025;1111;Pembelian bumbu;tunai;;17000
07/11/2025;1141;Pembelian perlengkapan;tunai;34000;
07/11/2025;1111;Pembelian perlengkapan;tunai;;34000
08/11/2025;1131;Pembelian sayuran;tunai;26000;
08/11/2025;1111;Pembelian sayuran;tunai;;26000
08/11/2025;1131;Pembelian buah;tunai;170000;
08/11/2025;1111;Pembelian buah;tunai;;170000
08/11/2025;1131;Pembelian bahan kering;tunai;69500;
08/11/2025;1111;Pembelian bahan kering;tunai;;69500
08/11/2025;5161;Kerugian gula pasir (bocor);tunai;8500;
08/11/2025;1111;Kerugian gula pasir (bocor);tunai;;8500
08/11/2025;1141;Pembelian perlengkapan;tunai;17000;
08/11/2025;1111;Pembelian perlengkapan;tunai;;17000
10/11/2025;1131;Pembelian buah;tunai;170000;
10/11/2025;1111;Pembelian buah;tunai;;170000
10/11/2025;1131;Pembelian malkist;tunai;120000;
10/11/2025;1111;Pembelian malkist;tunai;;120000
10/11/2025;1131;Pembelian kacang atom;tunai;130000;
10/11/2025;1111;Pembelian kacang atom;tunai;;130000
10/11/2025;1131;Pembelian saos;tunai;15000;
10/11/2025;1111;Pembelian saos;tunai;;15000
10/11/2025;5161;Kerugian telur pecah;tunai;26000;
10/11/2025;1111;Kerugian telur pecah;tunai;;26000
10/11/2025;1141;Pembelian perlengkapan kantor;tunai;35000;
10/11/2025;1111;Pembelian perlengkapan kantor;tunai;;35000
10/11/2025;1141;Pembelian kalkulator;tunai;60000;
10/11/2025;1111;Pembelian kalkulator;tunai;;60000
10/11/2025;1141;Pembelian file holder;tunai;20000;
10/11/2025;1111;Pembelian file holder;tunai;;20000
10/11/2025;1141;Pembelian tip-ex;tunai;6000;
10/11/2025;1111;Pembelian tip-ex;tunai;;6000
10/11/2025;1141;Pembelian label;tunai;3000;
10/11/2025;1111;Pembelian label;tunai;;3000
10/11/2025;1131;Pembelian kecap;tunai;25000;
10/11/2025;1111;Pembelian kecap;tunai;;25000
10/11/2025;1131;Pembelian garam;tunai;3000;
10/11/2025;1111;Pembelian garam;tunai;;3000
10/11/2025;1141;Pembelian kamper;tunai;20000;
10/11/2025;1111;Pembelian kamper;tunai;;20000
11/11/2025;1141;Pembelian pel;tunai;25000;
11/11/2025;1111;Pembelian pel;tunai;;25000
11/11/2025;1141;Pembelian mangkok;tunai;100000;
11/11/2025;1111;Pembelian mangkok;tunai;;100000
11/11/2025;1141;Pembelian piring;tunai;70000;
11/11/2025;1111;Pembelian piring;tunai;;70000
11/11/2025;1141;Pembelian sendok;tunai;30000;
11/11/2025;1111;Pembelian sendok;tunai;;30000
11/11/2025;1141;Pembelian panci;tunai;60000;
11/11/2025;1111;Pembelian panci;tunai;;60000
11/11/2025;1141;Pembelian pompa galon;tunai;30000;
11/11/2025;1111;Pembelian pompa galon;tunai;;30000
11/11/2025;1210;Pembelian teko elektrik;tunai;75000;
